attribute_0,avg_marks,min_marks,max_marks,surrounding_environment,level_of_comfortable_zone_for_student,university_contribution_in_paper_setting,stud_contribution_in_fighting_for_exam,stud_teacher_contribution_in_learning,gender,location,pg_sem_2,pg_sem_3,travel_time,study_hours,classattentiveness,extratutions,teachinglearninggap,examenvironment,ownstudynotes,time_on_socialmedia,use_online_course,familymotivation,expertmotivation,friendsmotivation,health_issues,inappropriate_yllabus,family_responsiblities,festival_holidays,financial_status,incentive_programs,exam_stress,overall_pg_performance,pg_sem_4_10_classes,pg_class_coded,pg_class_coded_cat
0.0,68.16666667,42.5,54.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,59.285,66.57,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,6.0,2
1.0,68.21428571,42.53571429,54.53571429,3.0,9.0,5.0,4.0,5.0,1.0,1.0,59.32071429,66.60571429,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,6.0,2
2.0,74.96666667,47.6,59.6,3.0,9.0,5.0,4.0,5.0,1.0,1.0,64.385,71.67,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
3.0,75.5,48.0,60.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,64.785,72.07,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
4.0,76.16666667,48.5,60.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.285,72.57,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
5.0,76.38888889,48.66666667,60.66666667,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.45166667,72.73666667,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
6.0,76.24074074,48.55555556,60.55555556,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.34055556,72.62555556,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
7.0,77.16666667,49.25,61.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,66.035,73.32,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
8.0,82.5,53.25,65.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.035,77.32,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
9.0,77.16666667,49.25,61.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,66.035,73.32,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
10.0,76.97619048,49.10714286,61.10714286,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.89214286,73.17714286,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
11.0,77.01851852,49.13888889,61.13888889,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.92388889,73.20888889,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
12.0,77.03333333,49.15,61.15,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.935,73.22,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
13.0,82.83333333,53.5,65.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.285,77.57,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
14.0,77.94444444,49.83333333,61.83333333,3.0,9.0,5.0,4.0,5.0,1.0,1.0,66.61833333,73.90333333,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
15.0,77.76666667,49.7,61.7,3.0,9.0,5.0,4.0,5.0,1.0,1.0,66.485,73.77,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
16.0,82.16666667,53.0,65.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,69.785,77.07,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
17.0,79.83333333,51.25,63.25,3.0,9.0,5.0,4.0,5.0,1.0,1.0,68.035,75.32,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
18.0,79.16666667,50.75,62.75,3.0,9.0,5.0,4.0,5.0,1.0,1.0,67.535,74.82,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,3
19.0,67.16666667,45.5,56.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.715,62.215,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,1
20.0,67.21428571,45.53571429,56.03571429,3.0,9.0,5.0,4.0,5.0,1.0,1.0,65.75071429,62.25071429,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,1
21.0,73.96666667,50.6,61.1,3.0,9.0,5.0,4.0,5.0,1.0,1.0,70.815,67.315,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
22.0,74.5,51.0,61.5,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.215,67.715,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
23.0,75.16666667,51.5,62.0,3.0,9.0,5.0,4.0,5.0,1.0,1.0,71.715,68.215,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,2
